url,title,full_title,publication_date,pdf_url,institution,og_title,og_description,wri_published,wri_authors,scrape_timestamp,status
https://www.wri.org/research/monitoring-receipt-international-climate-finance-developing-countries,Monitoring the Receipt of International Climate Finance by Developing Countries,Monitoring the Receipt of International Climate Finance by Developing Countries,2012-07-09,https://files.wri.org/d8/s3fs-public/pdf/monitoring_receipt_of_international_climate_finance_by_developing_countries.pdf,,Monitoring the Receipt of International Climate Finance by Developing Countries,"SynopsisBuilding the capacity of developing countries to monitor climate finance received will ultimately require the modification, development, and adoption of tools, methods, and processes. This paper explores the challenges faced by Indonesia, the Philippines, and Vietnam in monitoring finance for climate change. It also attempts to understand capacity gaps and develop insights about what can be done to improve climate finance monitoring.",September 7 2012,,2026-06-19T15:37:01.469284+00:00,ok
https://www.wri.org/research/comparing-life-cycle-greenhouse-gas-emissions-dairy-and-pork-systems-across-countries,Comparing the Life Cycle Greenhouse Gas Emissions of Dairy and Pork Systems Across Countries Using Land-Use Carbon Opportunity Costs,Comparing the Life Cycle Greenhouse Gas Emissions of Dairy and Pork Systems Across Countries Using Land-Use Carbon Opportunity Costs,2020-29-05,https://files.wri.org/d8/s3fs-public/comparing-life-cycle-greenhouse-gas-emissions-dairy-pork-systems_0.pdf,,Comparing the Life Cycle Greenhouse Gas Emissions of Dairy and Pork Systems Across Countries Using Land-Use Carbon Opportunity Costs,"SynopsisThis paper compares the lifecycle greenhouse gas (GHG) costs of dairy production across 13 countries and pork production across 10 countries to obtain insights about what causes higher or lower emissions. It counts the GHG gas costs of land use by using carbon opportunity costs, a method that assigns fewer emissions based largely on how much land is used to produce a kilogram of milk or pork.",May 29 2020,,2026-06-19T15:37:01.796750+00:00,ok
https://www.wri.org/research/case-study-applying-information-adapting-agriculture-sector-bundelkhand-india,"Case Study: Applying Information for Adapting the Agriculture Sector in Bundelkhand, India","Case Study: Applying Information for Adapting the Agriculture Sector in Bundelkhand, India",2012-04-09,https://files.wri.org/d8/s3fs-public/pdf/applying_information_for_adapting_india_agriculture_sector.pdf,,"Case Study: Applying Information for Adapting the Agriculture Sector in Bundelkhand, India","SynopsisThis case study documents the issues related to accessing, processing, and applying climate information in order to help farming communities take robust, low-risk agricultural adaptation measures. The study focuses on central India’s Bundelkhand region, which straddles the provinces of Uttar Pradesh and Madhya Pradesh.",September 4 2012,,2026-06-19T15:37:02.039036+00:00,ok
https://www.wri.org/research/perverse-habits,Perverse Habits,Perverse Habits,2000-01-06,https://files.wri.org/d8/s3fs-public/pdf/g8_sizer.pdf,,Perverse Habits,SynopsisIdentifies Group of Eight (G8) subsidies to forest products industries that undermine forest protection and accelerate forest loss and highlights actions these countries should take to conserve and manage forests for future generations. Key FindingsThe authors recommend the following:,June 1 2000,,2026-06-19T15:37:02.328938+00:00,ok
https://www.wri.org/research/pure-profit,Pure Profit,Pure Profit,2000-01-03,https://files.wri.org/d8/s3fs-public/pdf/pureprofit.pdf,,Pure Profit,"SynopsisExamining 13 companies in the U.S. pulp and paper sector, this report provides a new method of assessing a company's prospective financial exposure to environmental risks that could give investors an edge when making investment decisions. Executive SummaryToday's investors and companies are increasingly aware of the influence of environmental issues on the performance of their assets and businesses.",March 1 2000,,2026-06-19T15:37:02.446302+00:00,ok
https://www.wri.org/research/whos-governing-community-forests-gendered-participation-liberian-forest-management,Who’s Governing Community Forests? Gendered Participation in Liberian Forest Management,Who’s Governing Community Forests? Gendered Participation in Liberian Forest Management,2020-08-06,https://files.wri.org/d8/s3fs-public/whos-governing-community-forests.pdf,,Who’s Governing Community Forests? Gendered Participation in Liberian Forest Management,"SynopsisAcross sub-Saharan Africa, women play an important role in managing the forests that support their lives, livelihoods and households. Yet they are often excluded from decision-making processes affecting these natural resources. As many African countries take steps to decentralize natural resource management and strengthen local forest governance mechanisms, it is critical to understand the barriers that women face when they try to engage in forest management.",June 8 2020,,2026-06-19T15:37:02.591873+00:00,ok
https://www.wri.org/research/seven-country-assessment-national-capacities-track-forest-carbon-dioxide-emissions-and,A Seven-Country Assessment of National Capacities to Track Forest Carbon Dioxide Emissions and Removal,A Seven-Country Assessment of National Capacities to Track Forest Carbon Dioxide Emissions and Removal,2012-11-09,https://files.wri.org/d8/s3fs-public/pdf/national_capacities_to_track_forest_emissions_and_removals.pdf,,A Seven-Country Assessment of National Capacities to Track Forest Carbon Dioxide Emissions and Removal,"SynopsisForest carbon monitoring systems are necessary for tracking the effectiveness of national forest policies aiming to mitigate GHG emissions. This issue brief highlights the broad, fundamental technical capacity needs for forest carbon monitoring based on an assessment of current capacity gaps in seven countries. Key FindingsBased on findings from the assessment, the seven countries would benefit from the following: Establishing processes to regularly and more frequently update data to enable understanding of trends in forest change.",September 11 2012,,2026-06-19T15:37:02.722708+00:00,ok
https://www.wri.org/research/accc-local-government-renewables-action-tracker-summary-methods-and-data,ACCC: Local Government Renewables Action Tracker: Summary of Methods and Data,ACCC: Local Government Renewables Action Tracker: Summary of Methods and Data,2020-24-06,https://files.wri.org/d8/s3fs-public/accc-local-government-renewables-action-tracker-summary-of-methods-data.pdf,,ACCC: Local Government Renewables Action Tracker: Summary of Methods and Data,"SynopsisThe Local Government Renewables Action Tracker is an interactive web tool that presents a compilation of the renewable electricity transactions and advocacy efforts that have been completed by U.S. cities, counties, municipal utilities, and community choice aggregations.",June 24 2020,,2026-06-19T15:37:03.245944+00:00,ok
https://www.wri.org/research/impact-investors-blind-spot-local-clean-energy-entrepreneurs-kenya,The Impact Investors’ Blind Spot: Local Clean Energy Entrepreneurs in Kenya,The Impact Investors’ Blind Spot: Local Clean Energy Entrepreneurs in Kenya,2020-01-07,https://files.wri.org/d8/s3fs-public/impact-investors-blind-spot-local-clean-energy-entrepreneurs-kenya.pdf,,The Impact Investors’ Blind Spot: Local Clean Energy Entrepreneurs in Kenya,"SynopsisImpact investment aiming at generating both financial and socioeconomic returns is critical to achieve universal energy access. Oﬀ-grid energy access companies have absorbed about US$1.7 billion worldwide in disclosed investments in the period 2010 to 2018. The pace of investment has accelerated in the last few years. At the same time, impact investors have been criticized for investing only in foreign-owned companies and not local entrepreneurs, particularly in Africa.",July 1 2020,,2026-06-19T15:37:03.514067+00:00,ok
https://www.wri.org/research/wri-annual-report-2011-2012,WRI Annual Report 2011-2012,WRI Annual Report 2011-2012,2012-01-10,https://files.wri.org/d8/s3fs-public/pdf/wri_2012_annual_report.pdf,,WRI Annual Report 2011-2012,"Synopsis2011/2012 was a transition period as WRI said goodbye to President Jonathan Lash and welcomed new President Andrew Steer. With ample wind in our sails from 18 years of Jonathan’s leadership, the Institute’s accomplishments—many captured in this report—reflect both the strength and versatility he instilled in the organization.",October 1 2012,,2026-06-19T15:37:03.537926+00:00,ok
https://www.wri.org/research/world-resources-2000-2001,World Resources 2000-2001: People and Ecosystems: The Fraying Web of Life,World Resources 2000-2001: People and Ecosystems: The Fraying Web of Life,2000-01-09,https://files.wri.org/d8/s3fs-public/pdf/world_resources_2000-2001_people_and_ecosystems.pdf,,World Resources 2000-2001: People and Ecosystems: The Fraying Web of Life,"This millennial edition focuses on five critical ecosystems that have been shaped by the interaction of physical environment, biological conditions, and human intervention: Croplands, forests, coastal zones, freshwater systems, and grasslands.",September 1 2000,,2026-06-19T15:37:03.565231+00:00,ok
https://www.wri.org/research/coming-clean,Coming Clean,Coming Clean,2000-01-10,https://files.wri.org/d8/s3fs-public/pdf/coming_clean.pdf,,Coming Clean,SynopsisHow some companies are failing to disclose their exposure to financially material environmental issues -- running counter to Securities and Exchange Commission (SEC) rules and preventing investors from accurately valuing these companies.,October 1 2000,,2026-06-19T15:37:03.591843+00:00,ok
https://www.wri.org/research/case-study-aqueduct-informs-au-optronics-corporate-water-strategy,Case Study: Aqueduct Informs AU Optronics Corporate Water Strategy,Case Study: Aqueduct Informs AU Optronics Corporate Water Strategy,2012-17-10,https://files.wri.org/d8/s3fs-public/pdf/auoptronics_working_paper.pdf,,Case Study: Aqueduct Informs AU Optronics Corporate Water Strategy,"SynopsisAU Optronics (AUO), a multinational electronics manufacturer, conducted a global geographic water risk assessment using WRI’s Aqueduct Water Risk Atlas. This assessment aims to identify which of AUO’s fabrication plants are located in or source water from areas facing potential water risks. Companies and investors can use this paper to understand how to use Aqueduct’s Water Risk Atlas to inform their own water risk assessments and corporate water strategies.",October 17 2012,,2026-06-19T15:37:03.756806+00:00,ok
https://www.wri.org/research/interactive-forest-atlas-cameroon-atlas-forestier-interactif-du-cameroun-version-30,Interactive Forest Atlas of Cameroon - Atlas Forestier Interactif du Cameroun (Version 3.0),Interactive Forest Atlas of Cameroon - Atlas Forestier Interactif du Cameroun (Version 3.0),2012-03-10,https://files.wri.org/d8/s3fs-public/pdf/interactive_forest_atlas_of_cameroon_version_3_0.pdf,,Interactive Forest Atlas of Cameroon - Atlas Forestier Interactif du Cameroun (Version 3.0),The Interactive Forest Atlas of Cameroon is a living forest information system hosted in the Ministry of Forestry and Wildlife (MINFOF) and supported by a joint team including members from MINFOF and the World Resources Institute (WRI).,October 3 2012,,2026-06-19T15:37:04.165885+00:00,ok
https://www.wri.org/research/new-ventures,New Ventures,New Ventures,2012-12-11,https://files.wri.org/d8/s3fs-public/voices_of_the_entrepreneurs.pdf,,New Ventures,"Synopsis“Voices of the Entrepreneurs” is both a celebration of what New Ventures has achieved so far and a springboard to its future. This report highlights the experience of 32 New Ventures entrepreneurs and provides valuable insights into the challenges that hinder the growth of environmental enterprises in emerging markets. It also illustrates how business accelerators like New Ventures can help them scale their small businesses, with a recognition and call for more support to help move the environmental entrepreneurship industry forward.",November 12 2012,,2026-06-19T15:37:04.355330+00:00,ok
https://www.wri.org/research/how-electricity-distribution-companies-india-can-work-commercial-and-industrial-consumers,How Electricity Distribution Companies In India Can Work With Commercial And Industrial Consumers For Renewable Energy Procurement,How Electricity Distribution Companies In India Can Work With Commercial And Industrial Consumers For Renewable Energy Procurement,2020-09-07,https://files.wri.org/d8/s3fs-public/how-electricity-distribution-companies-india-can-work-commercial-industrial-consumers-renewable-energy-procurement.pdf,,How Electricity Distribution Companies In India Can Work With Commercial And Industrial Consumers For Renewable Energy Procurement,"SynopsisAs a result of a multitude of factors, such as national and international commitments to Renewable Energy (RE), falling RE prices, government regulation promoting RE, and the advent of sustainability targets, Commercial and Industrial (C&I) consumers all over the world have begun to actively explore the possibility of increasing the share of RE in their power mix. This presents two opportunities: one, an opportunity for C&I consumers to drive the demand for RE products, and two, a unique opportunity for utilities to market new RE products to C&I consumers.",July 9 2020,,2026-06-19T15:37:04.468708+00:00,ok
https://www.wri.org/research/case-study-energy-project-health-facilities-kenya-how-implement-demand-based-approaches,Case Study of an Energy Project in Health Facilities in Kenya: How to Implement Demand-Based Approaches,Case Study of an Energy Project in Health Facilities in Kenya: How to Implement Demand-Based Approaches,2020-27-07,https://files.wri.org/d8/s3fs-public/case-study-energy-project-health-facilities-kenya.pdf,,Case Study of an Energy Project in Health Facilities in Kenya: How to Implement Demand-Based Approaches,"SynopsisWe urgently need to understand how to improve energy access through demand-based approaches. This new study discusses how to implement demand-based approach by examining the results of a pilot project, in which health-care providers in Kenya were able to select renewable energy options to improve the continuity of power supply.",July 27 2020,,2026-06-19T15:37:04.495693+00:00,ok
https://www.wri.org/research/americas-new-climate-economy-comprehensive-guide-economic-benefits-climate-policy-united,America’s New Climate Economy: A Comprehensive Guide to the Economic Benefits of Climate Policy in the United States,America’s New Climate Economy: A Comprehensive Guide to the Economic Benefits of Climate Policy in the United States,2020-28-07,https://files.wri.org/d8/s3fs-public/americas-new-climate-economy.pdf,,America’s New Climate Economy: A Comprehensive Guide to the Economic Benefits of Climate Policy in the United States,"SynopsisThis working paper draws on the latest economic research to demonstrate how climate policy and investments in low-carbon infrastructure can reboot America’s economy and set it up for long-term success. On the other hand, delaying action on climate will further expose the United States to costly damages from climate impacts, air pollution, and public health crises.",July 28 2020,,2026-06-19T15:37:04.554807+00:00,ok
https://www.wri.org/research/assessing-non-annex-i-pledges,Assessing Non-Annex I Pledges,Assessing Non-Annex I Pledges,2011-01-12,https://files.wri.org/d8/s3fs-public/assessing_non_annex_i_pledges.pdf,,Assessing Non-Annex I Pledges,"SynopsisThis paper builds a case for the need to clarify the assumptions, methodologies, and other critical details underlying non-Annex I nationally appropriate mitigation actions (NAMAs). It also explains how common accounting rules for Annex I targets will resolve the lack of clarity surrounding targets for developed countries. It concludes with decisions that can be made in COP17 Durban to formalize both common accounting rules for Annex I targets and a clarification process for non–Annex I actions.",December 1 2011,,2026-06-19T15:37:04.674271+00:00,ok
https://www.wri.org/research/delivering-clean-energy-economy,Delivering on the Clean Energy Economy,Delivering on the Clean Energy Economy,2012-14-11,https://files.wri.org/d8/s3fs-public/pdf/delivering_clean_energy_economy.pdf,,Delivering on the Clean Energy Economy,"SynopsisThis paper examines the development of the solar PV and wind industries across China, Germany, India, Japan, and the United States from 2001–2011. It takes a unique, comparative approach to track the policies and incentives put in place by these key competitors, documents the state of play in each market, and determines what policy strategies seem to have been most successful to date. The analysis illustrates why these policies are so important to both installations and the stable growth of domestic manufacturing capacity.",November 14 2012,,2026-06-19T15:37:04.702479+00:00,ok
https://www.wri.org/research/highlighting-coral-reefs-coastal-planning-and-management-sabah-malaysia,"Highlighting Coral Reefs in Coastal Planning and Management in Sabah, Malaysia","Highlighting Coral Reefs in Coastal Planning and Management in Sabah, Malaysia",2003-20-06,https://files.wri.org/d8/s3fs-public/pdf/reefrisk_sabah.pdf,,"Highlighting Coral Reefs in Coastal Planning and Management in Sabah, Malaysia","SynopsisA map-based analysis of human pressure on coral reefs in Sabah, Malaysia, designed to halt reef degradation and improve coastal management.",June 20 2003,,2026-06-19T15:37:04.893086+00:00,ok
https://www.wri.org/research/designing-and-communicating-net-zero-targets,Designing and Communicating Net-Zero Targets,Designing and Communicating Net-Zero Targets,2020-29-07,https://files.wri.org/d8/s3fs-public/designing-communicating-net-zero-targets.pdf,,Designing and Communicating Net-Zero Targets,"SynopsisThe latest science from the Intergovernmental Panel on Climate Change (2018) suggests that to meet the Paris Agreement’s temperature goals, the world will need to reach net-zero GHG emissions early in the second half of the next century. At the global level, achieving net-zero emissions means balancing anthropogenic (human-induced) emissions and removals of GHGs in a given period.",July 29 2020,,2026-06-19T15:37:05.086225+00:00,ok
https://www.wri.org/research/cultivating-diversity,Cultivating Diversity,Cultivating Diversity,1998-01-10,https://files.wri.org/d8/s3fs-public/pdf/cultivatingdiversity_bw.pdf,,Cultivating Diversity,"SynopsisReveals the urgent need for action to incorporate biodiversity planning into agricultural development, and highlights effective practices and policies. Executive SummaryBiodiversity is a fundamental basis for agricultural production and food security, as well as a valuable ingredient of environmental conservation.",October 1 1998,,2026-06-19T15:37:05.291014+00:00,ok
https://www.wri.org/research/balancing-scales,Balancing the scales,Balancing the scales,1996-01-12,https://files.wri.org/d8/s3fs-public/pdf/balancingthescales_bw.pdf,,Balancing the scales,SynopsisUses case studies to make the case for protecting biodiversity wherever it is found and not just within the boundaries of protected areas. Explains challenges and opportunities of bioregional management. Highlights core elements of successful projects.,December 1 1996,,2026-06-19T15:37:05.593079+00:00,ok
https://www.wri.org/research/interactive-forest-atlas-democratic-republic-congo-atlas-forestier-interactif-de-la,Interactive Forest Atlas for Democratic Republic of Congo - Atlas Forestier Interactif de la République Démocratique du Congo (Version 1.0),Interactive Forest Atlas for Democratic Republic of Congo - Atlas Forestier Interactif de la République Démocratique du Congo (Version 1.0),2011-14-01,https://files.wri.org/d8/s3fs-public/pdf/interactive_forest_atlas_drc_fr.pdf,,Interactive Forest Atlas for Democratic Republic of Congo - Atlas Forestier Interactif de la République Démocratique du Congo (Version 1.0),"SynopsisPlease see our Congo Basin Forest Atlases page for the latest versions of our Congo Basin Atlases, along with links to online interactive maps, desktop mapping applications, GIS data, posters, and contact information. The Interactive Forest Atlas is both an information management tool and an aid to decision makers working to support the sustainable use of forest resources in the Democratic Republic of Congo.",January 14 2011,,2026-06-19T15:37:05.619230+00:00,ok
https://www.wri.org/research/global-coal-risk-assessment,Global Coal Risk Assessment,Global Coal Risk Assessment,2012-19-11,https://files.wri.org/d8/s3fs-public/pdf/global_coal_risk_assessment.pdf,,Global Coal Risk Assessment,SynopsisCoal-fired power plants are a major source of greenhouse gas emissions—one that could be increasing significantly globally. This working paper analyzes information about proposed new coal-fired plants and other market trends in order to assess potential future risks to the global climate.,November 19 2012,,2026-06-19T15:37:05.710226+00:00,ok
https://www.wri.org/research/linking-electricity-access-and-development-outcomes-africa-framework-action,Linking Electricity Access and Development Outcomes in Africa: A Framework for Action,Linking Electricity Access and Development Outcomes in Africa: A Framework for Action,2020-29-07,https://files.wri.org/d8/s3fs-public/linking-electricity-access-developement-outcomes-africa.pdf,,Linking Electricity Access and Development Outcomes in Africa: A Framework for Action,"SynopsisIn this decade of action for delivering the Sustainable Development Goals (SDGs), the ability of African governments to meet ambitious goals in poverty reduction, health care delivery, education, and other services that depend on access to electricity will be severely compromised if adequate action is not taken to ensure that affordable and reliable supplies of electricity are available to power critical development services. Electricity service delivery, in turn, requires sustained demand from development sectors to thrive.",July 29 2020,,2026-06-19T15:37:05.869483+00:00,ok
https://www.wri.org/research/safeguarding-forests-and-people,Safeguarding Forests and People,Safeguarding Forests and People,2012-26-11,https://files.wri.org/d8/s3fs-public/pdf/safeguarding_forests_and_people.pdf,,Safeguarding Forests and People,"SynopsisDuring the design of REDD+, Parties recognized that REDD+ actions will likely not be sustainable unless they account for the role of local people and ecosystems. As a result, Parties defined seven “safeguards” to guide implementation of REDD+, among them transparency, participation, protection of biodiversity, and protection of the rights of local people.",November 26 2012,,2026-06-19T15:37:06.280741+00:00,ok
https://www.wri.org/research/breaking-logjam,Breaking the Logjam,Breaking the Logjam,1994-01-03,https://files.wri.org/d8/s3fs-public/pdf/breakingthelogjam_bw.pdf,,Breaking the Logjam,"SynopsisExamines underlying economic, social, and political forces that drive forest conversion and exploitation and reforms in which local participation, national institutions, donor assistance, and international action can promote effective forest management. Executive SummaryTropical forests are vanishing at alarming rates throughout Africa, Asia, and Latin America, and their many contributions to huan welfare are being undermined. Despite increased efforts to stem deforestation, recent findings indicate that the problem is getting worse.",March 1 1994,,2026-06-19T15:37:06.490317+00:00,ok
https://www.wri.org/research/aggregating-cities-ghg-mitigation-targets-modeled-emissions-scenarios,Aggregating Cities’ GHG Mitigation Targets with Modeled Emissions Scenarios,Aggregating Cities’ GHG Mitigation Targets with Modeled Emissions Scenarios,2020-28-08,https://files.wri.org/d8/s3fs-public/aggregating-cities-ghg-mitigation-targets.pdf,,Aggregating Cities’ GHG Mitigation Targets with Modeled Emissions Scenarios,"SynopsisThis technical note details of the methodology employed to estimate the aggregated actual and projected greenhouse gas (GHG) emissions of cities party to the Global Covenant of Mayors for Climate & Energy (GCoM), using baseline and target emissions scenarios to project potential avoided emissions based on the GHG reduction targets reported by cities.",August 28 2020,,2026-06-19T15:37:06.711254+00:00,ok
https://www.wri.org/research/ending-conflicts-over-water,Ending Conflicts Over Water,Ending Conflicts Over Water,2020-02-09,https://files.wri.org/d8/s3fs-public/ending-conflicts-over-water.pdf,,Ending Conflicts Over Water,"SynopsisThis report explores some of the thorniest water crises taking place across the developing world. In southern Iraq, severe water quality problems have triggered social unrest and violent protests. Recent droughts in India have prompted an exodus of farmers from the countryside in Maharashtra and dried up the reservoirs serving the city of Chennai. Across the African Sahel, there are violent conflicts between farmers and pastoralists over water and productive land resources.",September 2 2020,,2026-06-19T15:37:06.799372+00:00,ok
https://www.wri.org/research/japanese-fast-start-finance-contribution,The Japanese Fast-Start Finance Contribution,The Japanese Fast-Start Finance Contribution,2012-28-11,https://files.wri.org/d8/s3fs-public/pdf/ocn_jp_fast_start_finance.pdf,,The Japanese Fast-Start Finance Contribution,"SynopsisJapan’s fast-start finance (FSF) commitment is one of the largest amongst developed countries, but it is important to consider the contents of this commitment. Japan has played a significant role in global efforts to finance climate change activities in developing countries, and its FSF commitments account for almost half of the FSF that developed countries have pledged for 2010-2012.",November 28 2012,,2026-06-19T15:37:06.982629+00:00,ok
https://www.wri.org/research/climate-protection-policies,Climate Protection Policies,Climate Protection Policies,1997-01-11,https://files.wri.org/d8/s3fs-public/pdf/climateprotectionpolicies_bw.pdf,,Climate Protection Policies,"SynopsisThis report explains why delaying policy implementation threatens to make climate protection more, not less, costly while also postponing potential benefits from early action. Executive SummaryThis report explains why delaying policy implementation threatens to make climate protection more, not less, costly while also postponing potential benefits from early action. Findings include:",November 1 1997,,2026-06-19T15:37:07.148456+00:00,ok
https://www.wri.org/research/greenhouse-gas-mitigation-united-states,Greenhouse Gas Mitigation in the United States,Greenhouse Gas Mitigation in the United States,2012-29-11,https://files.wri.org/d8/s3fs-public/pdf/ghg_mitigation_us_policy_landscape_overview.pdf,,Greenhouse Gas Mitigation in the United States,"SynopsisIn the context of the U.S. goal to achieve “in the range of a 17 percent emission reduction by 2020 compared with 2005 levels,” this report examines key existing and emerging federal policies that are likely to reduce GHG emissions in the United States. U.S. government GHG projections suggest that additional policy action is likely to be necessary in order to achieve the president’s GHG reduction target and continue significant emissions reductions after 2020.",November 29 2012,,2026-06-19T15:37:07.635615+00:00,ok
